,,,,,,,,,wire,Voltmeter_load2,wire,wire,wire,,,,
,wire,Voltmeter_load1,wire,wire,wire,,,,wire,,,,wire,,,,
,wire,,,,wire,,,,wire,,,,wire,,,,
,wire,,,,wire,,,,wire,,,,wire,,,,
,wire,,,,wire,,wire,wire,wire,Resistor_load2,wire,Ammeter_load2,wire,wire,wire,,
wire,wire,Resistor_load1,wire,Ammeter_load1,wire,wire,wire,,,,,,,,wire,wire,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,wire,wire,Resistor_load3,wire,Ammeter_load3,wire,wire,wire,,wire
wire,,,,,,,,,wire,,,,wire,,,,wire
wire,,,,,,,,,wire,,,,wire,,,,wire
wire,,,,,,,,,wire,Voltmeter_load3,wire,wire,wire,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,Ammeter_load
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,wire,Ammeter_source,wire,wire,Resistor_source,wire,wire,VoltageSource_acsource,wire,wire,wire,wire,wire,wire,wire,wire,wire
