‰2¶«êÌ˜û,ÒVtf,dn#ğšaÍó7À:,wire,,,,,,,,,,,,
,wire,,,,wire,,,,,,,,,,,,
,wire,,,,wire,,,,,,,,,,,,
,wire,,,,wire,,,,,,,,,,,,
wire,wire,Resistor_r1,wire,Ammeter_r1,wire,wire,wire,wire,wire,Resistor_r2,wire,Ammeter_r2,wire,wire,wire,wire,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,,,,,,,,wire,,wire
wire,,,,,,,wire,wire,wire,Resistor_r3,wire,Ammeter_r3,wire,wire,wire,,wire
wire,,,,,,,,,wire,,,,wire,,,,wire
wire,,,,,,,,,wire,,,,wire,,,,wire
wire,,,,,,,,,wire,wire,Voltmeter_r2r3,wire,wire,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,Ammeter_Source
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,,,,,,,,,,,,,,,,,wire
wire,wire,wire,wire,wire,wire,wire,wire,VoltageSource_source,wire,wire,wire,wire,wire,wire,wire,wire,wire
